Model,NumImages,MeanPixelDice,MeanIoU,PixelPrec,PixelRec,PixelF1,CaseAcc,CasePrec,CaseRec,CaseF1,CaseSpec,TN,FP,FN,TP,MeanDiceLoss,MeanDiceBefore
U-Net,12047,0.843055,0.059544,0.108403,0.070698,0.076640,0.903627,0.918844,0.619565,0.740094,0.984433,9233,146,1015,1653,0.922130,0.843055
U-Net++,12047,0.856125,0.074377,0.125066,0.087361,0.093777,0.918901,0.906295,0.706897,0.794272,0.979209,9184,195,782,1886,0.908379,0.856125
nnU-Net,12047,0.852047,0.072766,0.114061,0.094428,0.093186,0.917739,0.889819,0.717391,0.794356,0.974731,9142,237,754,1914,0.910982,0.852047
